dataset,case_id,knn_k1,knn_k5,knn_k10
amos,amos_0111,0.008791966363787651,0.009231715463101864,0.01002664677798748
amos,amos_0112,0.010172535665333271,0.015861565247178078,0.017609192058444023
amos,amos_0113,0.013569803908467293,0.01869746297597885,0.019832255318760872
amos,amos_0115,0.012414543889462948,0.01408077497035265,0.016183892264962196
amos,amos_0116,0.005236717406660318,0.009046060964465141,0.010570423677563667
amos,amos_0117,0.008679931983351707,0.009524079039692879,0.01029293891042471
amos,amos_0118,0.008404102176427841,0.010033180937170982,0.011026628315448761
amos,amos_0119,0.007667153608053923,0.008686238899827003,0.009130332618951797
amos,amos_0120,0.010118658654391766,0.012096687220036983,0.01298388559371233
amos,amos_0121,0.00711478479206562,0.011123748496174812,0.012999051250517368
amos,amos_0123,0.008954141288995743,0.009391826577484608,0.011054124683141708
amos,amos_0124,0.006871109828352928,0.012031270191073418,0.013135324232280254
amos,amos_0125,0.013570908457040787,0.014793981797993183,0.017597217112779617
amos,amos_0126,0.008706857450306416,0.010501532815396786,0.011325441300868988
amos,amos_0127,0.008340233005583286,0.010040703229606152,0.01159447431564331
amos,amos_0128,0.01079732459038496,0.011885170824825764,0.012093405239284039
amos,amos_0129,0.008730906061828136,0.01061884593218565,0.011850981041789055
amos,amos_0131,0.012696287594735622,0.017227357253432274,0.01806827262043953
amos,amos_0132,0.00881205778568983,0.014991994947195053,0.016844941303133965
amos,amos_0133,0.013136175461113453,0.013986256904900074,0.014284564182162285
amos,amos_0134,0.008202108554542065,0.008770039305090904,0.009887000545859337
amos,amos_0135,0.008724471554160118,0.01109902560710907,0.01310405507683754
amos,amos_0136,0.006588106043636799,0.008821276016533375,0.00902650784701109
amos,amos_0137,0.00952660571783781,0.015896202996373177,0.018161805346608162
amos,amos_0138,0.008734224364161491,0.010563219897449017,0.011905412189662457
amos,amos_0140,0.01123212929815054,0.01587744802236557,0.017188047990202904
amos,amos_0141,0.009882013313472271,0.011195584200322628,0.012661798857152462
amos,amos_0142,0.009192436933517456,0.013450805097818375,0.01480831764638424
amos,amos_0143,0.008733726106584072,0.00974342692643404,0.010607992298901081
amos,amos_0144,0.006330600008368492,0.00851184781640768,0.009163991548120975
amos,amos_0147,0.012604881078004837,0.013521827757358551,0.014102587476372719
amos,amos_0149,0.011332002468407154,0.01193171739578247,0.013988213613629341
amos,amos_0150,0.0136521952226758,0.01999370940029621,0.02190314419567585
amos,amos_0152,0.00815935991704464,0.008756430819630623,0.008959481492638588
amos,amos_0153,0.008158569224178791,0.010166522115468979,0.011057146824896336
amos,amos_0154,0.007814378477633,0.008632861077785492,0.009727215394377708
amos,amos_0155,0.006705909967422485,0.008348810486495495,0.009989364072680473
amos,amos_0156,0.00926828384399414,0.010992473922669888,0.01132185012102127
amos,amos_0157,0.0063732462003827095,0.008373815566301346,0.009308398701250553
amos,amos_0158,0.008031386882066727,0.008869958110153675,0.010336528532207012
amos,amos_0159,0.009193209931254387,0.009879405610263348,0.010995828546583652
amos,amos_0160,0.009344374760985374,0.014027997851371765,0.015627557411789894
amos,amos_0161,0.007018469739705324,0.00949371512979269,0.010800591669976711
amos,amos_0162,0.009285671636462212,0.010057943873107433,0.011091909371316433
amos,amos_0166,0.009576753713190556,0.01043291948735714,0.011879735626280308
amos,amos_0167,0.007890105247497559,0.009957143105566502,0.011405755765736103
amos,amos_0170,0.006255073472857475,0.008391311392188072,0.008721187710762024
amos,amos_0171,0.014010951854288578,0.0205201655626297,0.022556426003575325
amos,amos_0172,0.011479713022708893,0.014625857584178448,0.016243712976574898
amos,amos_0173,0.011295144446194172,0.015571745112538338,0.01678701676428318
amos,amos_0174,0.00805981270968914,0.01432937104254961,0.016467129811644554
amos,amos_0175,0.008434263058006763,0.008982126601040363,0.009747614152729511
amos,amos_0176,0.007316753268241882,0.009332130663096905,0.009531179443001747
amos,amos_0177,0.00773559371009469,0.008416532538831234,0.009038791991770267
amos,amos_0179,0.007519478909671307,0.008361165411770344,0.00926876999437809
amos,amos_0180,0.011919953860342503,0.012822767719626427,0.014891311526298523
amos,amos_0181,0.006738921627402306,0.009581560268998146,0.010040191002190113
amos,amos_0184,0.007052196655422449,0.008447258733212948,0.009312338195741177
amos,amos_0185,0.006773517467081547,0.013038473203778267,0.014645131304860115
