case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
amos_0257,0.248494,0.242047,0.073043,0.464318,190,23,0.657872,118.2898
amos_0258,0.862152,0.858389,0.816373,0.909269,190,23,0.850235,145.0823
amos_0259,0.152577,0.110947,0.000000,0.805068,190,23,0.152616,143.4382
amos_0263,0.803555,0.804233,0.735269,0.880394,190,23,0.841986,218.8951
amos_0264,0.278384,0.274813,0.138202,0.506872,190,23,0.588422,105.2094
amos_0268,0.846051,0.857599,0.704654,0.908098,190,23,0.720838,187.2792
amos_0272,0.740068,0.747085,0.623834,0.844077,190,23,0.662026,232.6502
amos_0273,0.700504,0.694353,0.614042,0.827387,190,23,0.616812,79.1222
amos_0274,0.891075,0.891100,0.858759,0.918982,190,23,0.817050,135.2854
amos_0276,0.722959,0.722390,0.626348,0.838261,190,23,0.707746,252.3739
amos_0278,0.869662,0.887906,0.741269,0.929460,190,23,0.810912,155.4618
amos_0279,0.316936,0.304446,0.148700,0.612860,190,23,0.731353,115.4712
amos_0280,0.210124,0.203139,0.060305,0.466895,190,23,0.321660,166.7419
amos_0281,0.224826,0.218162,0.061487,0.489982,190,23,0.461366,162.0257
amos_0282,0.323213,0.306959,0.182867,0.567894,190,23,0.774842,92.1827
amos_0283,0.746131,0.748926,0.603520,0.881512,190,23,0.756152,243.2570
amos_0284,0.263425,0.265603,0.095873,0.428284,190,23,0.722791,242.4266
amos_0286,0.393995,0.385039,0.209596,0.675107,190,23,0.752682,114.2371
amos_0287,0.309690,0.302171,0.192382,0.481700,190,23,0.855224,64.9363
amos_0288,0.835212,0.836420,0.785036,0.879813,190,23,0.886217,66.1324
amos_0289,0.709904,0.708459,0.630863,0.799232,190,23,0.655393,114.9185
amos_0290,0.751569,0.753131,0.632667,0.882353,190,23,0.775771,263.5585
amos_0292,0.094863,0.104972,0.000000,0.403248,190,23,0.034877,114.4706
amos_0293,0.340585,0.332441,0.192012,0.563093,190,23,0.759412,140.3940
amos_0294,0.732368,0.733864,0.616973,0.855853,190,23,0.753334,178.9269
amos_0296,0.231662,0.223066,0.104400,0.455623,190,23,0.680469,79.6283
amos_0297,0.894157,0.896134,0.854192,0.925554,190,23,0.849615,82.6401
amos_0299,0.345297,0.343939,0.208704,0.537139,190,23,0.559720,72.0761
amos_0301,0.160335,0.152196,0.045751,0.343279,190,23,0.222392,120.3506
amos_0302,0.648031,0.648631,0.518980,0.764679,190,23,0.691272,178.1724
amos_0304,0.669586,0.668436,0.557662,0.790163,190,23,0.671462,138.1255
amos_0307,0.605960,0.606503,0.493962,0.766368,190,23,0.761100,160.5702
amos_0308,0.761281,0.765345,0.641767,0.853028,190,23,0.735905,144.2273
amos_0309,0.734525,0.737384,0.594162,0.848875,190,23,0.804890,171.9375
amos_0310,0.942760,0.943038,0.928914,0.954015,190,23,0.847576,137.1557
amos_0311,0.694031,0.690662,0.587770,0.815626,190,23,0.651173,257.6236
amos_0313,0.791316,0.795555,0.708446,0.878526,190,23,0.721119,103.2680
amos_0316,0.465449,0.464237,0.257175,0.667072,190,23,0.404157,88.0210
