case_id,our_aorta_ml,ts_aorta_ml,diff_aorta_ml,our_r_iliac_ml,ts_r_iliac_ml,diff_r_iliac_ml,our_l_iliac_ml,ts_l_iliac_ml,diff_l_iliac_ml
s0325,70.888,63.727,7.162,35.647,19.896,15.751,20.976,17.776,3.200
s0327,221.889,227.347,-5.457,18.137,13.291,4.847,16.011,12.953,3.058
s0328,114.618,102.185,12.433,17.985,16.436,1.549,20.058,15.457,4.600
s0329,73.855,84.810,-10.955,24.465,16.109,8.356,16.970,14.965,2.005
s0332,289.022,276.605,12.417,9.031,13.787,-4.755,27.695,16.740,10.955
s0334,193.070,201.619,-8.549,38.897,19.616,19.281,11.144,19.194,-8.049
s0336,32.764,164.710,-131.946,0.027,0.000,0.027,0.000,0.000,0.000
s0344,252.619,256.314,-3.696,32.677,23.679,8.998,22.933,20.743,2.190
s0347,16.949,162.300,-145.351,0.000,0.000,0.000,0.000,0.000,0.000
s0350,244.991,253.277,-8.286,18.350,15.937,2.413,34.199,17.199,17.000
s0358,191.832,247.803,-55.971,9.119,17.250,-8.130,3.442,15.039,-11.596
s0361,9.842,9.443,0.398,51.739,27.918,23.821,47.979,25.431,22.548
s0362,370.146,398.297,-28.151,34.523,22.369,12.153,25.572,25.083,0.489
s0367,192.996,205.227,-12.231,0.013,0.000,0.013,0.111,0.000,0.111
s0369,314.861,322.930,-8.070,27.142,25.586,1.556,46.713,26.686,20.027
s0370,278.032,294.128,-16.095,29.008,21.229,7.779,26.183,19.875,6.308
s0371,173.556,177.987,-4.431,3.905,1.407,2.498,1.141,1.205,-0.064
s0375,119.455,141.035,-21.580,16.956,11.590,5.366,15.083,11.303,3.780
s0376,179.371,352.080,-172.709,0.287,0.000,0.287,0.101,0.000,0.101
s0377,323.794,306.018,17.776,0.533,0.000,0.533,0.952,0.000,0.952
s0381,0.000,1.988,-1.988,0.111,16.946,-16.835,2.238,14.151,-11.914
s0383,237.408,244.222,-6.814,18.735,15.032,3.702,21.171,15.694,5.478
s0385,16.058,14.587,1.472,0.894,13.952,-13.058,2.825,10.314,-7.489
s0389,119.684,195.217,-75.532,0.000,0.000,0.000,0.000,0.000,0.000
s0393,275.775,274.728,1.046,0.864,0.000,0.864,0.000,0.000,0.000
s0399,0.000,2.511,-2.511,0.000,12.660,-12.660,0.003,11.826,-11.823
s0402,304.239,309.737,-5.498,15.903,17.199,-1.296,34.239,19.072,15.167
s0408,305.684,309.079,-3.395,30.530,22.589,7.941,31.590,25.984,5.606
s0412,235.227,222.318,12.909,0.000,0.000,0.000,0.000,0.000,0.000
s0418,0.192,0.000,0.192,0.000,3.534,-3.534,0.000,4.981,-4.981
s0419,0.000,0.000,0.000,1.482,18.994,-17.513,0.935,17.901,-16.966
s0420,404.629,442.517,-37.888,0.054,0.000,0.054,0.101,0.000,0.101
s0421,89.738,278.910,-189.172,0.000,0.000,0.000,0.263,0.000,0.263
s0423,432.142,449.577,-17.435,33.622,24.843,8.778,33.048,24.263,8.785
s0426,0.877,2.200,-1.323,6.446,15.910,-9.463,2.589,14.323,-11.735
s0429,167.899,167.225,0.675,24.256,10.921,13.335,21.897,11.880,10.017
s0431,425.064,482.271,-57.206,0.000,0.000,0.000,0.000,0.000,0.000
s0436,166.077,156.343,9.733,19.615,14.013,5.602,41.195,16.861,24.334
s0440,184.211,189.597,-5.387,15.039,9.322,5.717,28.688,10.601,18.087
